number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
70,2.043352705483161,2025-06-21 14:10:07.533914,2025-06-21 14:10:10.128122,0 days 00:00:02.594208,0.6228406346002703,0.06155316898904566,7,25,235,48,0.3244371658419109,0.027164864206997142,0.7576606573919277,COMPLETE
71,2.0071833375446704,2025-06-21 14:10:10.128122,2025-06-21 14:10:12.527732,0 days 00:00:02.399610,0.6690101405668281,0.09187532959201376,7,25,210,49,0.3444709421769779,0.018159765373129542,0.8168174766200752,COMPLETE
72,2.003754106053496,2025-06-21 14:10:12.527732,2025-06-21 14:10:14.990595,0 days 00:00:02.462863,0.658669860022892,0.09230475775952361,7,24,225,49,0.3436298410514864,0.05564578291419806,0.8182642242371574,COMPLETE
73,2.0167129913727755,2025-06-21 14:10:14.992900,2025-06-21 14:10:17.323562,0 days 00:00:02.330662,0.6597488199746618,0.09217844687841362,6,24,229,48,0.3822021828062836,0.06581060113701757,0.7926316959904844,COMPLETE
74,2.0197451539544455,2025-06-21 14:10:17.323562,2025-06-21 14:10:19.640946,0 days 00:00:02.317384,0.6740664400705262,0.08560599211092823,7,21,211,46,0.3069883691975722,0.03198746789318902,0.8575667294098503,COMPLETE
75,2.015269104429123,2025-06-21 14:10:19.640946,2025-06-21 14:10:22.000311,0 days 00:00:02.359365,0.6372929701697565,0.08168851117239907,7,24,221,49,0.39777718236359283,0.05424810323330476,0.7293355289539833,COMPLETE
76,2.0036458145327223,2025-06-21 14:10:22.000311,2025-06-21 14:10:24.459858,0 days 00:00:02.459547,0.6445578965925106,0.09304727293805866,7,25,240,47,0.33111045068315076,0.02007157792555488,0.8369088968473114,COMPLETE
77,2.010179402952749,2025-06-21 14:10:24.461861,2025-06-21 14:10:26.786013,0 days 00:00:02.324152,0.64169935812552,0.09289161605405452,6,25,247,47,0.37494355637029697,0.02166852035710599,0.8204026107560793,COMPLETE
78,2.024365592174133,2025-06-21 14:10:26.786013,2025-06-21 14:10:29.063095,0 days 00:00:02.277082,0.6105522793305176,0.08969616349293745,6,23,239,44,0.3051062787346256,0.01970876906175778,0.6957771595712754,COMPLETE
79,2.0173627404974193,2025-06-21 14:10:29.063095,2025-06-21 14:10:31.630461,0 days 00:00:02.567366,0.6895952086026037,0.0842046019604447,7,25,229,49,0.2704421558134129,0.047524753359965595,0.8361878406939757,COMPLETE
80,2.033425982745551,2025-06-21 14:10:31.630977,2025-06-21 14:10:34.193823,0 days 00:00:02.562846,0.645984669637281,0.07101866430275627,7,21,240,47,0.40269226423680765,0.05826060339048242,0.7962429717451935,COMPLETE
81,2.0027794823665306,2025-06-21 14:10:34.193823,2025-06-21 14:10:36.661355,0 days 00:00:02.467532,0.6717474849200175,0.09398341102728648,8,27,214,49,0.3317360231240482,0.08349494396163638,0.8139270908012475,COMPLETE
82,2.0002887773887306,2025-06-21 14:10:36.661355,2025-06-21 14:10:39.096607,0 days 00:00:02.435252,0.6719751349703882,0.09388293723081123,7,27,224,49,0.32986813937946463,0.036599347032787825,0.8517172266710482,COMPLETE
83,2.007941378190088,2025-06-21 14:10:39.096607,2025-06-21 14:10:41.598450,0 days 00:00:02.501843,0.7033131585335024,0.09431065260661982,8,27,224,45,0.3213782435672581,0.03823216132227862,0.8536746820180704,COMPLETE
84,2.001155109554922,2025-06-21 14:10:41.598450,2025-06-21 14:10:44.023153,0 days 00:00:02.424703,0.6820510072110326,0.09728443742018142,8,27,213,48,0.33405473710088124,0.08146551797769114,0.8689783482538979,COMPLETE
85,2.0053423816915137,2025-06-21 14:10:44.023153,2025-06-21 14:10:46.285357,0 days 00:00:02.262204,0.6497916971181861,0.09703349951571776,7,27,217,46,0.27429267343098523,0.0819058322269862,0.876250037111883,COMPLETE
86,2.007941378190088,2025-06-21 14:10:46.285357,2025-06-21 14:10:48.852660,0 days 00:00:02.567303,0.6841158527638814,0.08774959074215237,8,28,226,48,0.24996287713402315,0.0983119683552332,0.8497070450156652,COMPLETE
87,2.0303938201638814,2025-06-21 14:10:48.854424,2025-06-21 14:10:51.140977,0 days 00:00:02.286553,0.6264011511015142,0.07758371537433253,7,27,215,47,0.3313120339373466,0.11727118430009582,0.8644286549108889,COMPLETE
