number,value,datetime_start,datetime_complete,duration,params_alpha,params_fit_intercept,params_max_iter,params_selection,params_tol,state
59,0.6477405557787556,2025-06-21 22:32:31.597725,2025-06-21 22:32:31.650256,0 days 00:00:00.052531,0.0008861466715904283,True,4000,cyclic,6.551686430760104e-05,COMPLETE
60,0.8586841065537977,2025-06-21 22:32:31.651247,2025-06-21 22:32:31.703245,0 days 00:00:00.051998,0.07412154695540944,True,6000,cyclic,0.0008494593705338553,COMPLETE
61,0.6397940754118516,2025-06-21 22:32:31.703245,2025-06-21 22:32:31.753769,0 days 00:00:00.050524,0.0001036557083323595,True,8000,cyclic,0.00030701557854451747,COMPLETE
62,0.6402418526514668,2025-06-21 22:32:31.753769,2025-06-21 22:32:31.805755,0 days 00:00:00.051986,0.0001420437252555216,True,7000,cyclic,0.00023116144715347627,COMPLETE
63,0.6408192174618643,2025-06-21 22:32:31.805755,2025-06-21 22:32:31.863271,0 days 00:00:00.057516,0.0002089717295415486,True,8000,cyclic,0.00016942367498024548,COMPLETE
64,0.6397386207065561,2025-06-21 22:32:31.863271,2025-06-21 22:32:31.919273,0 days 00:00:00.056002,0.0001001956714330879,True,7000,cyclic,0.0012771839858400772,COMPLETE
65,0.8622787100393949,2025-06-21 22:32:31.920273,2025-06-21 22:32:31.979781,0 days 00:00:00.059508,0.15260972513542165,True,6000,cyclic,0.0011717330943042577,COMPLETE
66,0.640112422345159,2025-06-21 22:32:31.980784,2025-06-21 22:32:32.033311,0 days 00:00:00.052527,0.00013831762667777624,True,7000,cyclic,0.0013177198325791254,COMPLETE
67,0.6423456954997382,2025-06-21 22:32:32.033311,2025-06-21 22:32:32.087319,0 days 00:00:00.054008,0.00035893419315701213,True,7000,cyclic,0.002688863976422689,COMPLETE
68,0.6397386207065561,2025-06-21 22:32:32.088316,2025-06-21 22:32:32.138825,0 days 00:00:00.050509,0.00010137755030791396,True,6000,cyclic,0.0017449562880375408,COMPLETE
69,0.7280479822668937,2025-06-21 22:32:32.139825,2025-06-21 22:32:32.183834,0 days 00:00:00.044009,0.00019614916307645448,False,6000,cyclic,0.0016389573718954239,COMPLETE
70,0.6445681756679167,2025-06-21 22:32:32.184834,2025-06-21 22:32:32.231335,0 days 00:00:00.046501,0.0005225837854417069,True,4000,cyclic,0.00601217303475706,COMPLETE
71,0.6397386207065561,2025-06-21 22:32:32.232338,2025-06-21 22:32:32.291334,0 days 00:00:00.058996,0.00010062688314024889,True,7000,cyclic,0.002802598458244838,COMPLETE
72,0.6400519979614064,2025-06-21 22:32:32.291334,2025-06-21 22:32:32.354711,0 days 00:00:00.063377,0.00013644926898702771,True,7000,cyclic,0.0032085035917527914,COMPLETE
73,0.6417196734176411,2025-06-21 22:32:32.355711,2025-06-21 22:32:32.414291,0 days 00:00:00.058580,0.0002999938249007042,True,6000,cyclic,0.004648713398602458,COMPLETE
