number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
87,0.2163798626714406,2025-06-21 21:17:57.372484,2025-06-21 21:18:39.613589,0 days 00:00:42.241105,0.7183111728750174,0.1136629069259884,14,21,948,233,0.7377205191172099,0.28626039009648246,0.8108291907835669,COMPLETE
88,0.2211917443016388,2025-06-21 21:18:39.614588,2025-06-21 21:19:15.495230,0 days 00:00:35.880642,0.7294699415539497,0.13395513119289842,15,19,799,229,0.7118070590456242,0.3205672719182614,0.8774231992028907,COMPLETE
89,0.22441518628854107,2025-06-21 21:19:15.496229,2025-06-21 21:19:52.838362,0 days 00:00:37.342133,0.7405730682919244,0.10931998066116663,13,24,877,210,0.6200552558545616,0.22817474713344588,0.7587461460333788,COMPLETE
90,0.4814208221111873,2025-06-21 21:19:52.839338,2025-06-21 21:20:04.512281,0 days 00:00:11.672943,0.6708637945158832,0.02623623399416062,5,16,904,105,0.758887901912203,0.2818658595810079,0.816294650509479,COMPLETE
91,0.21594903397499854,2025-06-21 21:20:04.513282,2025-06-21 21:20:56.882542,0 days 00:00:52.369260,0.7209945534134758,0.11647460367990152,14,22,1000,241,0.5705453774358801,0.2121920990224431,0.8107093789125579,COMPLETE
92,0.21799811664006385,2025-06-21 21:20:56.883045,2025-06-21 21:21:38.474733,0 days 00:00:41.591688,0.7573425277408629,0.15540503460208943,14,21,942,239,0.5658486263229463,0.2022598041246392,0.808780019990723,COMPLETE
93,0.22451645171017087,2025-06-21 21:21:38.474733,2025-06-21 21:22:20.640243,0 days 00:00:42.165510,0.7144480580762896,0.08137415951314074,15,22,997,233,0.4618212573438374,0.5158957307739671,0.8534042250706609,COMPLETE
94,0.217875190638403,2025-06-21 21:22:20.641244,2025-06-21 21:22:58.437555,0 days 00:00:37.796311,0.7217611389860152,0.13239810865818685,14,25,931,222,0.6596947477035947,0.24376268398120576,0.8276394128962465,COMPLETE
95,0.22195223548612408,2025-06-21 21:22:58.438693,2025-06-21 21:23:40.795250,0 days 00:00:42.356557,0.7022475955112967,0.1741940500002074,12,9,983,241,0.6915706477544308,0.2650387774297333,0.860718706916492,COMPLETE
96,0.27431229603034657,2025-06-21 21:23:40.796250,2025-06-21 21:23:59.095541,0 days 00:00:18.299291,0.7755501287629916,0.1063946342476623,15,38,351,235,0.6312352236194401,0.2209589756050683,0.8356399034975796,COMPLETE
97,0.2195555284153894,2025-06-21 21:23:59.096540,2025-06-21 21:24:39.100776,0 days 00:00:40.004236,0.6617918640268352,0.09248729701821651,15,28,947,252,0.8286375667628514,0.3164168956942097,0.7708823677108831,COMPLETE
98,0.2162506278578632,2025-06-21 21:24:39.101776,2025-06-21 21:25:19.817728,0 days 00:00:40.715952,0.6835329651403372,0.14944433727120365,14,12,999,229,0.5604606217928659,0.18886789662158646,0.8458172081633698,COMPLETE
99,0.22134185260195904,2025-06-21 21:25:19.818728,2025-06-21 21:25:54.601910,0 days 00:00:34.783182,0.7170113053120062,0.1516139673760321,13,12,906,200,0.5614845814743384,0.41256962294334765,0.8830412829043002,COMPLETE
