number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
21,2.0349059668627945,2025-06-21 01:04:34.550410,2025-06-21 01:04:37.326896,0 days 00:00:02.776486,0.6536223930282326,0.08878122350995026,7,22,236,36,0.1807897264372454,0.18073741401967805,0.7498512339049345,COMPLETE
22,2.01104573511894,2025-06-21 01:04:37.326896,2025-06-21 01:04:40.432801,0 days 00:00:03.105905,0.7299838046549372,0.09208609029699405,6,22,250,46,0.15503395378385906,0.2426108875510095,0.8104974940573048,COMPLETE
23,2.0178681009276973,2025-06-21 01:04:40.432801,2025-06-21 01:04:43.536126,0 days 00:00:03.103325,0.7283338135536149,0.08133632622049618,6,26,249,47,0.09854439101607426,0.24911888041613037,0.7998610787004299,COMPLETE
24,2.032704039273725,2025-06-21 01:04:43.536126,2025-06-21 01:04:46.354245,0 days 00:00:02.818119,0.7169370151541996,0.07522386974455308,6,25,249,47,0.002226450764491919,0.359011714408496,0.8085346625992682,COMPLETE
25,2.0746850521604157,2025-06-21 01:04:46.356032,2025-06-21 01:04:49.072383,0 days 00:00:02.716351,0.7321572909116164,0.08320028822262306,5,22,240,50,0.10578672524465199,0.2518824209243088,0.8474083742862297,COMPLETE
26,2.066635382449554,2025-06-21 01:04:49.072383,2025-06-21 01:04:52.443156,0 days 00:00:03.370773,0.8022619542234293,0.05858581190171342,6,20,250,43,0.05334785633694142,0.4358342801265114,0.8147734161563194,COMPLETE
27,2.1357614698769085,2025-06-21 01:04:52.443156,2025-06-21 01:04:54.349363,0 days 00:00:01.906207,0.6783118450663193,0.09219247834558406,4,23,208,46,0.09614806623095001,0.30307562383804154,0.943602364218804,COMPLETE
28,2.071291917842833,2025-06-21 01:04:54.349363,2025-06-21 01:04:56.824395,0 days 00:00:02.475032,0.7268900774189561,0.08346337410220786,6,30,169,41,0.20867204027939307,0.3473417690696387,0.7904248986169702,COMPLETE
29,2.1029852362560013,2025-06-21 01:04:56.824395,2025-06-21 01:04:59.371055,0 days 00:00:02.546660,0.7453259959146492,0.06634929256246488,5,26,222,45,0.14821842575232924,0.24382891172279061,0.8330034197403842,COMPLETE
30,2.1961159441215754,2025-06-21 01:04:59.371055,2025-06-21 01:05:01.516749,0 days 00:00:02.145694,0.7791916803603118,0.073901528448849,3,21,241,48,0.14670093792038003,0.20023689396943667,0.6842848608069623,COMPLETE
